log distance [m];gridzone;easting [m];northing [m];height [m];event / comment;J. no.;J. len [m];t [mm];to u/s w. [m];o'clock;depth [%];ERF;length [mm];width [mm];internal
46254.84;22;634542.4601;7605502.979;487.5645;GirthWeld;38220;12.32;11.45;;;;;;;
46267.16;22;634554.6517;7605501.224;487.9777;GirthWeld;38230;12.29;11.45;;;;;;;
46279.45;22;634566.8117;7605499.442;488.1864;GirthWeld;38240;12.35;11.45;;;;;;;
46291.8;22;634579.0278;7605497.647;488.2407;GirthWeld;38250;12.31;11.45;;;;;;;
46304.11;22;634591.2045;7605495.879;488.2513;GirthWeld;38260;12.36;11.45;;;;;;;
46316.47;22;634603.4436;7605494.16;488.3105;GirthWeld;38270;12.33;11.45;;;;;;;
46328.8;22;634615.6554;7605492.469;488.3742;GirthWeld;38280;12.29;11.45;;;;;;;
46341.09;22;634627.8281;7605490.809;488.4029;GirthWeld;38290;11.96;11.45;;;;;;;
46353.05;22;634639.6807;7605489.187;488.3822;GirthWeld;38300;12.33;11.45;;;;;;;
46365.38;22;634651.8879;7605487.486;488.3622;GirthWeld;38310;12.34;11.45;;;;;;;
46377.72;22;634664.1133;7605485.792;488.3892;GirthWeld;38320;12.33;11.45;;;;;;;
46390.05;22;634676.3215;7605484.102;488.3292;GirthWeld;38330;12.34;11.45;;;;;;;
46402.39;22;634688.5448;7605482.451;488.1619;GirthWeld;38340;11.91;11.45;;;;;;;
46414.3;22;634700.3445;7605480.858;488.0168;GirthWeld;38350;12.33;11.45;;;;;;;
46426.63;22;634712.5613;7605479.212;487.8459;GirthWeld;38360;12.35;11.45;;;;;;;
46438.98;22;634724.7985;7605477.561;487.7225;GirthWeld;38370;12.31;11.45;;;;;;;
46451.29;22;634736.9946;7605475.886;487.6467;GirthWeld;38380;12.37;11.45;;;;;;;
46463.66;22;634749.2426;7605474.207;487.4475;GirthWeld;38390;11.94;11.45;;;;;;;
46475.6;22;634761.0642;7605472.603;487.1422;GirthWeld;38400;12.38;11.45;;;;;;;
46487.98;22;634773.332;7605470.954;486.9175;GirthWeld;38410;12.32;11.45;;;;;;;
46500.3;22;634785.5407;7605469.344;486.7038;GirthWeld;38420;12.32;11.45;;;;;;;
46512.62;22;634797.7526;7605467.727;486.5002;GirthWeld;38430;12.04;11.45;;;;;;;
46524.66;22;634809.6785;7605466.128;486.3463;GirthWeld;38440;12.34;11.45;;;;;;;
46537;22;634821.9022;7605464.477;486.1544;GirthWeld;38450;12.36;11.45;;;;;;;
46549.36;22;634834.138;7605462.755;485.8273;GirthWeld;38460;12.34;11.45;;;;;;;
46561.7;22;634846.355;7605461.066;485.5312;GirthWeld;38470;11.89;11.45;;;;;;;
46573.59;22;634858.1292;7605459.463;485.3388;GirthWeld;38480;12.32;11.45;;;;;;;
46585.91;22;634870.3424;7605457.84;485.1898;GirthWeld;38490;12.35;11.45;;;;;;;
46598.26;22;634882.5863;7605456.243;484.9885;GirthWeld;38500;12.34;11.45;;;;;;;
46610.61;22;634894.8201;7605454.65;484.7274;GirthWeld;38510;12.36;11.45;;;;;;;
46622.96;22;634907.0655;7605453.044;484.367;GirthWeld;38520;12.35;11.45;;;;;;;
46635.32;22;634919.304;7605451.414;484.0845;GirthWeld;38530;12.35;11.45;;;;;;;
46647.66;22;634931.5246;7605449.694;483.8582;GirthWeld;38540;12.29;11.45;;;;;;;
46659.96;22;634943.6929;7605447.973;483.6898;GirthWeld;38550;12.31;11.45;;;;;;;
46672.27;22;634955.8867;7605446.328;483.4727;GirthWeld;38560;12.06;11.45;;;;;;;
46684.32;22;634967.8368;7605444.766;483.2808;GirthWeld;38570;12.35;11.45;;;;;;;
46696.67;22;634980.0826;7605443.197;483.149;GirthWeld;38580;11.79;11.45;;;;;;;
46708.46;22;634991.7687;7605441.691;482.9573;GirthWeld;38590;11.76;11.45;;;;;;;
46720.21;22;635003.4221;7605440.176;482.7492;GirthWeld;38600;12.34;11.45;;;;;;;
46732.56;22;635015.6541;7605438.548;482.6111;GirthWeld;38610;12.32;11.45;;;;;;;
46744.88;22;635027.8612;7605436.921;482.4886;GirthWeld;38620;12.35;11.45;;;;;;;
46757.22;22;635040.0932;7605435.279;482.298;GirthWeld;38630;12.35;11.45;;;;;;;
46769.57;22;635052.3345;7605433.671;482.0877;GirthWeld;38640;12.33;11.45;;;;;;;
46781.91;22;635064.5634;7605432.089;481.9467;GirthWeld;38650;12.32;11.45;;;;;;;
46794.23;22;635076.7785;7605430.475;481.8401;GirthWeld;38660;12.35;11.45;;;;;;;
46806.58;22;635089.0234;7605428.869;481.709;GirthWeld;38670;12.36;11.45;;;;;;;
46818.94;22;635101.2713;7605427.25;481.6158;GirthWeld;38680;12.28;11.45;;;;;;;
46831.22;22;635113.4405;7605425.625;481.6977;GirthWeld;38690;12.35;11.45;;;;;;;
46843.57;22;635125.6851;7605424.028;481.7518;GirthWeld;38700;12.22;11.45;;;;;;;
46855.79;22;635137.8085;7605422.47;481.7397;GirthWeld;38710;12.37;11.45;;;;;;;
46868.16;22;635150.0759;7605420.898;481.6646;GirthWeld;38720;12.35;11.45;;;;;;;
46880.51;22;635162.3169;7605419.328;481.5358;GirthWeld;38730;12.31;11.45;;;;;;;
46892.82;22;635174.5211;7605417.71;481.6953;GirthWeld;38740;9.25;11.45;;;;;;;
46902.07;22;635183.6888;7605416.501;481.8557;GirthWeld;38750;12.35;11.45;;;;;;;
46914.42;22;635195.9313;7605414.913;482.1385;GirthWeld;38760;12.29;11.45;;;;;;;
46926.71;22;635208.1075;7605413.305;482.4936;GirthWeld;38770;12.32;11.45;;;;;;;
46939.03;22;635220.3117;7605411.648;482.7737;GirthWeld;38780;12.33;11.45;;;;;;;
46951.36;22;635232.5265;7605409.973;482.913;GirthWeld;38790;12.33;11.45;;;;;;;
46963.69;22;635244.7484;7605408.344;483.0513;GirthWeld;38800;12.28;11.45;;;;;;;
46975.97;22;635256.9279;7605406.765;483.1268;GirthWeld;38810;11.96;11.45;;;;;;;
46987.93;22;635268.7824;7605405.185;483.1872;GirthWeld;38820;12.26;11.45;;;;;;;
46998.94;22;635279.673;7605403.7;483.27;MM  / No. 24 @ KM 944+003,30;;;;;12:00;;;;;
47000.2;22;635280.9097;7605403.533;483.2781;GirthWeld;38830;12.27;11.45;;;;;;;
47012.46;22;635293.0466;7605401.909;483.3432;GirthWeld;38840;12.37;11.45;;;;;;;
47024.83;22;635305.3042;7605400.309;483.3259;GirthWeld;38850;12.26;11.45;;;;;;;
47037.09;22;635317.4517;7605398.708;483.2778;GirthWeld;38860;12.24;11.45;;;;;;;
47049.33;22;635329.5849;7605397.103;483.2812;GirthWeld;38870;12.32;11.45;;;;;;;
47061.65;22;635341.7918;7605395.491;483.2764;GirthWeld;38880;12.37;11.45;;;;;;;
47074.02;22;635354.0499;7605393.882;483.2058;GirthWeld;38890;12;11.45;;;;;;;
47086.03;22;635365.9463;7605392.318;483.1753;GirthWeld;38900;12.35;11.45;;;;;;;
47098.38;22;635378.1914;7605390.723;483.1371;GirthWeld;38910;12.4;11.45;;;;;;;
47110.78;22;635390.4853;7605389.143;483.0405;GirthWeld;38920;12.24;11.45;;;;;;;
47123.02;22;635402.6224;7605387.595;482.9804;GirthWeld;38930;12.38;11.45;;;;;;;
