log dist. [m];gridzone;easting [m];northing [m];heighting [m];event / comment;J. no.;J. len [m];t [mm];to u/s w. [m];o'clock;depth [%];ERF;length [mm];width [mm];internal
30998.08;22;621231.6717;7611972.294;460.9439;Girth Weld;25590;12.31;11.45;;;;;;;
31000.9;22;621234.318;7611971.296;460.981;MM  / No. 16 @ KM 928+003,05;;;;;12:00;;;;;
31010.4;22;621243.1851;7611967.965;461.1236;Girth Weld;25600;12.38;11.45;;;;;;;
31022.78;22;621254.7664;7611963.632;461.2151;Girth Weld;25610;12.37;11.45;;;;;;;
31035.14;22;621266.3466;7611959.33;461.2399;Girth Weld;25620;12.32;11.45;;;;;;;
31047.46;22;621277.8966;7611955.07;461.3474;Girth Weld;25630;12.27;11.45;;;;;;;
31059.73;22;621289.3891;7611950.82;461.5159;Girth Weld;25640;12.32;11.45;;;;;;;
31072.05;22;621300.9264;7611946.525;461.7028;Girth Weld;25650;12.36;11.45;;;;;;;
31084.42;22;621312.514;7611942.254;461.789;Girth Weld;25660;12.25;11.45;;;;;;;
31096.67;22;621324.0001;7611938.035;461.8439;Girth Weld;25670;12.19;11.45;;;;;;;
31108.85;22;621335.4172;7611933.807;461.9255;Girth Weld;25680;12.3;11.45;;;;;;;
31121.15;22;621346.9423;7611929.558;462.0261;Girth Weld;25690;12.33;11.45;;;;;;;
31133.47;22;621358.4907;7611925.286;462.1876;Girth Weld;25700;12.39;11.45;;;;;;;
31145.86;22;621370.1017;7611921.011;462.3469;Girth Weld;25710;12.31;11.45;;;;;;;
31158.17;22;621381.6348;7611916.734;462.477;Girth Weld;25720;12.36;11.45;;;;;;;
31170.54;22;621393.2179;7611912.449;462.5569;Girth Weld;25730;12.37;11.45;;;;;;;
31182.9;22;621404.8024;7611908.161;462.6408;Girth Weld;25740;12.34;11.45;;;;;;;
31195.24;22;621416.3759;7611903.907;462.733;Girth Weld;25750;12.36;11.45;;;;;;;
31207.6;22;621427.9599;7611899.644;462.8087;Girth Weld;25760;12.34;11.45;;;;;;;
31219.94;22;621439.5311;7611895.397;462.9606;Girth Weld;25770;12.36;11.45;;;;;;;
31232.29;22;621451.1233;7611891.159;463.0819;Girth Weld;25780;12.34;11.45;;;;;;;
31244.64;22;621462.7189;7611886.96;463.1206;Girth Weld;25790;12.29;11.45;;;;;;;
31256.93;22;621474.2503;7611882.751;463.2068;Girth Weld;25800;12.31;11.45;;;;;;;
31269.24;22;621485.8022;7611878.526;463.3546;Girth Weld;25810;12.25;11.45;;;;;;;
31281.49;22;621497.3014;7611874.331;463.3958;Girth Weld;25820;12.18;11.45;;;;;;;
31293.67;22;621508.7394;7611870.177;463.4116;Girth Weld;25830;12.33;11.45;;;;;;;
31306.01;22;621520.3139;7611865.95;463.4728;Girth Weld;25840;12.39;11.45;;;;;;;
31318.39;22;621531.9313;7611861.693;463.5636;Girth Weld;25850;12.36;11.45;;;;;;;
31330.75;22;621543.5129;7611857.421;463.6577;Girth Weld;25860;12.34;11.45;;;;;;;
31343.1;22;621555.0822;7611853.152;463.7095;Girth Weld;25870;12.36;11.45;;;;;;;
31355.46;22;621566.6784;7611848.905;463.761;Girth Weld;25880;12.36;11.45;;;;;;;
31367.81;22;621578.2639;7611844.643;463.8638;Girth Weld;25890;12.33;11.45;;;;;;;
31380.15;22;621589.8171;7611840.37;463.985;Girth Weld;25900;12.35;11.45;;;;;;;
31392.5;22;621601.3906;7611836.09;463.9777;Girth Weld;25910;11.86;11.45;;;;;;;
31404.36;22;621612.5111;7611831.998;463.9249;Girth Weld;25920;12.14;11.45;;;;;;;
31416.5;22;621623.9;7611827.821;463.9149;Girth Weld;25930;12.35;11.45;;;;;;;
31428.86;22;621635.4819;7611823.561;463.9498;Girth Weld;25940;12.35;11.45;;;;;;;
31441.21;22;621647.06;7611819.29;463.9945;Girth Weld;25950;12.31;11.45;;;;;;;
31453.52;22;621658.5947;7611815.024;464.0096;Girth Weld;25960;12.11;11.45;;;;;;;
31465.63;22;621669.9411;7611810.818;464.0196;Girth Weld;25970;12.27;11.45;;;;;;;
31477.9;22;621681.4339;7611806.556;464.013;Girth Weld;25980;12.26;11.45;;;;;;;
31490.17;22;621692.9207;7611802.299;464.0123;Girth Weld;25990;12.38;11.45;;;;;;;
31502.54;22;621704.5125;7611797.993;464.0065;Girth Weld;26000;12.32;11.45;;;;;;;
31514.86;22;621716.0384;7611793.686;464.0312;Girth Weld;26010;12.29;11.45;;;;;;;
31527.15;22;621727.5439;7611789.395;464.0765;Girth Weld;26020;12.34;11.45;;;;;;;
31539.49;22;621739.0972;7611785.098;464.0724;Girth Weld;26030;12.2;11.45;;;;;;;
31551.69;22;621750.5085;7611780.818;464.0725;Girth Weld;26040;12.31;11.45;;;;;;;
